,source,target,weight,population_1,gdp_1,population_2,gdp_2,distance
308,dk,lv,75,5340662.0,164157842126.821,2392536.0,7958852838.93395,924.5206433577398
309,gr,lv,73,11038112.0,130457756628.436,2392536.0,7958852838.93395,1978.6033181066136
310,at,lt,71,8010425.0,197289625479.906,3599639.0,11524776866.6379,1090.0183719682154
311,ie,sk,71,3768954.0,100207610429.909,5376700.0,29242558796.5507,1982.5222436994907
312,fi,is,70,5176208.0,126019543413.334,281469.0,9025660361.75842,2094.0168056563857
313,ee,hu,68,1396881.0,5686579747.53524,10202054.0,47218411470.2538,1344.220890086707
314,ee,no,65,1396881.0,5686579747.53524,4491204.0,171456390281.958,1273.464307956373
315,cy,nl,65,948238.0,9985844486.33365,15899138.0,417479337444.707,2913.0513317199197
316,lt,lv,64,3599639.0,11524776866.6379,2392536.0,7958852838.93395,179.64733914772322
317,gr,is,64,11038112.0,130457756628.436,281469.0,9025660361.75842,3926.285988817425
318,gr,lu,63,11038112.0,130457756628.436,435634.0,21230182989.3036,1779.7905260375348
319,be,is,62,10264351.0,236792460312.471,281469.0,9025660361.75842,2096.032290940102
320,ee,lv,62,1396881.0,5686579747.53524,2392536.0,7958852838.93395,212.89215012832722
321,is,pt,61,281469.0,9025660361.75842,10300632.0,118605192877.388,2913.836411001334
322,at,lv,61,8010425.0,197289625479.906,2392536.0,7958852838.93395,1256.6301981189135
323,lu,nl,60,435634.0,21230182989.3036,15899138.0,417479337444.707,283.5773545002537
324,es,lu,60,40741652.0,598363313494.903,435634.0,21230182989.3036,1288.0668980859127
325,fr,mt,59,58665456.0,1365639660792.16,399212.0,4323339212.2281,1676.4461887605967
326,be,lv,58,10264351.0,236792460312.471,2392536.0,7958852838.93395,1494.159211174665
327,cz,ee,58,10234712.0,61823494487.0363,1396881.0,5686579747.53524,1198.1989168543041
328,lt,no,58,3599639.0,11524776866.6379,4491204.0,171456390281.958,1603.2381834149123
329,lt,pt,58,3599639.0,11524776866.6379,10300632.0,118605192877.388,2929.0435368946983
330,be,cy,56,10264351.0,236792460312.471,948238.0,9985844486.33365,2882.451086682032
331,at,is,56,8010425.0,197289625479.906,281469.0,9025660361.75842,2752.7187595362147
